days_since_first_purchase,total_revenue,percentage_of_total_revenue,cumulative_percentage_of_total_revenue
0,127881146.72017144,61.996022709788825,61.996022709788825
1,34586.12062848539,0.016767146486565392,62.01278985627539
2,45409.25369052629,0.022014137308235236,62.03480399358362
3,45922.85408063415,0.02226312773618751,62.05706712131981
4,50335.176053941665,0.02440219530225059,62.08146931662206
5,75780.85663805743,0.036738110578415695,62.11820742720048
6,51610.839610154784,0.02502062944074087,62.14322805664122
7,82522.64106535022,0.04000648774877005,62.18323454438999
8,70671.88160403272,0.034261309733595154,62.217495854123584
9,78459.05799260893,0.038036486736720596,62.255532340860306
10,46396.458382499855,0.02249272829738805,62.27802506915769
11,27174.817527396983,0.013174190627562837,62.29119925978525
12,52759.93070423285,0.025577701999059142,62.31677696178431
13,42703.799451163875,0.020702549112745976,62.33747951089706
14,65618.06985468823,0.031811251722550296,62.36929076261961
15,56403.22380462534,0.02734394892116875,62.396634711540784
16,59387.50014072895,0.028790708418174275,62.425425419958955
17,42421.04858934253,0.020565473169182173,62.44599089312814
18,53641.10377573483,0.02600488948645031,62.47199578261459
19,33670.314131649415,0.016323168919646535,62.48831895153424
20,88907.50432828025,0.0431018316520717,62.53142078318631
21,69938.55722472063,0.03390579841672406,62.56532658160304
22,50862.95894525732,0.02465806132280984,62.58998464292585
23,60463.93985306748,0.029312560016814433,62.61929720294266
24,43036.98494836236,0.02086407546890299,62.64016127841156
25,44482.472871923375,0.021564839455105803,62.661726117866664
26,55359.93133885068,0.026838166911388607,62.68856428477805
27,78587.7651090341,0.03809888318465257,62.726663167962705
28,37707.84441034032,0.018280539691406267,62.74494370765411
29,23366.083302139934,0.011327738827742214,62.756271446481854
30,36449.75728548499,0.01767062650276326,62.77394207298462
31,18334.440917635766,0.008888428393500916,62.78283050137812
32,35621.98377462299,0.01726932680617657,62.8000998281843
33,17635.905718343856,0.008549782665107107,62.80864961084941
34,77910.3526556602,0.03777047763840611,62.84642008848781
35,55001.40826708487,0.026664357049112245,62.873084445536925
36,68185.40223559043,0.03305587925891632,62.90614032479584
